year,race,driver,top_speed,avg_top_speed,fastest_lap_time,avg_lap_time
2018,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2018,77,312.0,292.51785714285717,81.736,84.091814
2018,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2018,10,302.0,281.0,81.685,84.424285
2018,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2018,20,295.0,287.0612244897959,81.302,84.657768
2018,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2018,14,310.0,283.70588235294116,82.09,85.190739
2018,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2018,55,308.0,288.3137254901961,82.774,85.369913
2018,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2018,8,315.0,290.7413793103448,82.606,85.377463
2018,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2018,28,300.0,284.0181818181818,82.612,85.397101
2018,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2018,27,314.0,293.27777777777777,81.261,85.487275
2018,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2018,31,311.0,293.3333333333333,82.876,85.612028
2018,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2018,11,315.0,298.1914893617021,83.263,85.752362
2018,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2018,9,308.0,290.3,83.671,86.437132
2018,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2018,35,307.0,291.64814814814815,83.708,86.578132
2018,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2018,18,315.0,290.54,82.66,86.588558
2018,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2018,2,302.0,285.6666666666667,83.077,85.590061
2018,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2018,33,291.0,283.8,83.985,85.6118
